test_case_id,step_number,endpoint,method,test_data_row,reason,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,1,id=%not-sure% indicates uncertain path parameter requiring dependency resolution.,{},{},http://localhost:30000/api/v4/projects/2/repository/commits,200,2xx,0.087s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,2,"All provided fields satisfy their type and constraints; 'order' is in the allowed enum ['default', 'topo']; 'since' and 'until' match 'date-time' format.","{""ref_name"": ""main"", ""since"": ""2023-05-01T12:00:00Z"", ""until"": ""2023-05-10T18:30:00Z"", ""path"": ""src/app.py"", ""all"": true, ""with_stats"": false, ""first_parent"": true, ""order"": ""default""}",{},http://localhost:30000/api/v4/projects/4/repository/commits?ref_name=main&since=2023-05-01T12%3A00%3A00Z&until=2023-05-10T18%3A30%3A00Z&path=src%2Fapp.py&all=True&with_stats=False&first_parent=True&order=default,200,2xx,0.048s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,3,"id=%not-sure% indicates uncertain path parameter requiring dependency resolution; 'order' is in the allowed enum ['default', 'topo'].","{""order"": ""topo""}",{},http://localhost:30000/api/v4/projects/3/repository/commits?order=topo,200,2xx,0.163s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,4,,{},{},http://localhost:30000/api/v4/projects/3/repository/commits,200,2xx,0.087s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,5,"order='reverse' is not in the allowed enum ['default', 'topo'].","{""order"": ""reverse""}",{},http://localhost:30000/api/v4/projects/1/repository/commits?order=reverse,400,4xx,0.040s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,6,since='20230501' does not match format 'date-time'.,"{""since"": ""20230501""}",{},http://localhost:30000/api/v4/projects/6/repository/commits?since=20230501,200,4xx,0.086s,FAIL
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,7,"since='2021-02-30T25:61:61Z' does not match format 'date-time', violating 'format=date-time'.","{""since"": ""2021-02-30T25:61:61Z""}",{},http://localhost:30000/api/v4/projects/myproject/repository/commits?since=2021-02-30T25%3A61%3A61Z,404,4xx,0.024s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,8,"until='not-a-date' does not match format 'date-time', violating 'format=date-time'.","{""until"": ""not-a-date""}",{},http://localhost:30000/api/v4/projects/myproject/repository/commits?until=not-a-date,404,4xx,0.025s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,9,"order='chronological' is not in the allowed enum ['default', 'topo'].","{""order"": ""chronological""}",{},http://localhost:30000/api/v4/projects/myproject/repository/commits?order=chronological,404,4xx,0.026s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,10,"all='tru' is not parseable as boolean, violating 'type=boolean'.","{""all"": ""tru""}",{},http://localhost:30000/api/v4/projects/myproject/repository/commits?all=tru,404,4xx,0.019s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,11,"with_stats='yes' and first_parent='nope' are not parseable as boolean, violating 'type=boolean' for both fields.","{""with_stats"": ""yes"", ""first_parent"": ""nope""}",{},http://localhost:30000/api/v4/projects/myproject/repository/commits?with_stats=yes&first_parent=nope,404,4xx,0.020s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,12,,{},{},http://localhost:30000/api/v4/projects//repository/commits,404,4xx,0.019s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,13,,{},{},http://localhost:30000/api/v4/projects/123456789/repository/commits,404,4xx,0.030s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,14,,"{""ref_name"": 123456789}",{},http://localhost:30000/api/v4/projects//repository/commits?ref_name=123456789,404,4xx,0.011s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,15,,"{""since"": 123456789}",{},http://localhost:30000/api/v4/projects//repository/commits?since=123456789,404,4xx,0.014s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,16,,"{""until"": 123456789}",{},http://localhost:30000/api/v4/projects//repository/commits?until=123456789,404,4xx,0.017s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,17,,"{""path"": 123456789}",{},http://localhost:30000/api/v4/projects//repository/commits?path=123456789,404,4xx,0.014s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,18,,"{""all"": ""123456""}",{},http://localhost:30000/api/v4/projects//repository/commits?all=123456,404,4xx,0.017s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,19,,"{""with_stats"": ""123456""}",{},http://localhost:30000/api/v4/projects//repository/commits?with_stats=123456,404,4xx,0.035s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,20,,"{""first_parent"": ""123456""}",{},http://localhost:30000/api/v4/projects//repository/commits?first_parent=123456,404,4xx,0.064s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,21,,"{""order"": 123456789}",{},http://localhost:30000/api/v4/projects//repository/commits?order=123456789,404,4xx,0.014s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,22,,"{""until"": 123456789, ""with_stats"": ""123456""}",{},http://localhost:30000/api/v4/projects//repository/commits?until=123456789&with_stats=123456,404,4xx,0.017s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,23,,"{""ref_name"": 123456789, ""path"": 123456789}",{},http://localhost:30000/api/v4/projects/123456789/repository/commits?ref_name=123456789&path=123456789,404,4xx,0.028s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,24,,"{""until"": 123456789, ""with_stats"": ""123456"", ""first_parent"": ""123456"", ""order"": 123456789}",{},http://localhost:30000/api/v4/projects//repository/commits?until=123456789&with_stats=123456&first_parent=123456&order=123456789,404,4xx,0.023s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,25,,"{""ref_name"": 123456789, ""since"": 123456789, ""until"": 123456789, ""all"": ""123456"", ""first_parent"": ""123456""}",{},http://localhost:30000/api/v4/projects//repository/commits?ref_name=123456789&since=123456789&until=123456789&all=123456&first_parent=123456,404,4xx,0.019s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,26,,"{""ref_name"": 123456789, ""until"": 123456789, ""path"": 123456789, ""all"": ""123456"", ""with_stats"": ""123456"", ""first_parent"": ""123456""}",{},http://localhost:30000/api/v4/projects//repository/commits?ref_name=123456789&until=123456789&path=123456789&all=123456&with_stats=123456&first_parent=123456,404,4xx,0.019s,PASS
_projects_id_repository_commits_GET_1_1,2,get-/projects/{id}/repository/commits,GET,27,,"{""ref_name"": 123456789, ""since"": 123456789, ""until"": 123456789, ""path"": 123456789, ""all"": ""123456"", ""first_parent"": ""123456""}",{},http://localhost:30000/api/v4/projects/123456789/repository/commits?ref_name=123456789&since=123456789&until=123456789&path=123456789&all=123456&first_parent=123456,404,4xx,0.311s,PASS
